City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,port-cartier,50.0334,-66.8654,-7.18,88,6,3.15,CA,1701992548
291,conceicao do araguaia,-8.2578,-49.2647,28.13,58,97,1.66,BR,1701992381
292,idri,27.5,13.2667,13.56,53,0,4.58,LY,1701992548
293,iwanai,42.9744,140.5089,1.09,64,99,8.4,JP,1701992548
294,gornozavodsk,58.3758,58.3211,-37.23,100,16,0.4,RU,1701992549
295,rio gallegos,-51.6226,-69.2181,14.03,51,0,5.14,AR,1701992549
296,ad dilam,23.9915,47.1627,16.23,19,0,1.46,SA,1701992549
297,san patricio,28.017,-97.5169,22.13,74,100,5.8,US,1701992549
298,greenland,43.0362,-70.8328,-1.51,71,40,2.06,US,1701992549
299,crane,31.3974,-102.3501,19.16,29,1,2.81,US,1701992549
300,zaozersk,69.4005,32.4476,-16.52,95,76,4.19,RU,1701992550
301,pundong,-7.9522,110.3486,27.06,80,97,0.84,ID,1701992550
302,krasnokamsk,58.0802,55.7541,-34.92,100,32,0.38,RU,1701992550
303,katsuren-haebaru,26.3369,127.8719,18.01,72,0,2.06,JP,1701992550
304,barabinsk,55.3571,78.357,-37.23,99,11,1.89,RU,1701992550
305,nanning,22.8167,108.3167,12.25,70,48,2.1,CN,1701992550
306,port hedland,-20.3167,118.5667,28.03,83,9,1.54,AU,1701992551
307,saldanha,-33.0117,17.9442,17.03,92,3,4.27,ZA,1701992551
308,praia da vitoria,38.7333,-27.0667,18.75,94,75,9.65,PT,1701992551
309,gulu,2.7746,32.299,21.4,76,45,1.44,UG,1701992435
310,mount gambier,-37.8333,140.7667,31.75,31,97,5.15,AU,1701992291
311,george town,5.4112,100.3354,25.96,95,20,1.03,MY,1701992431
312,christchurch,-43.5333,172.6333,21.97,55,40,4.12,NZ,1701992448
313,anloga,5.7947,0.8973,27.89,80,100,5.35,GH,1701992552
314,el bauga,18.262,33.9081,21.62,47,34,3.72,SD,1701992552
315,vorgashor,67.5833,63.95,-25.09,98,100,1.83,RU,1701992483
316,aasiaat,68.7098,-52.8699,-11.57,85,100,0.79,GL,1701992552
317,byron bay,-28.65,153.6167,26.99,63,1,2.27,AU,1701992552
318,greenville,35.6127,-77.3663,8.02,59,0,2.06,US,1701992280
319,brokopondo,4.75,-55.1667,26.7,81,88,5.21,SR,1701992553
320,whakatane,-37.9585,176.9854,23.27,70,86,3.64,NZ,1701992553
321,zouerate,22.7187,-12.4521,18.99,35,100,3.49,MR,1701992553
322,kailua-kona,19.6406,-155.9956,28.98,69,40,6.69,US,1701992553
323,banda aceh,5.5577,95.3222,25.85,83,100,3.0,ID,1701992553
324,woolgoolga,-30.1106,153.2007,25.93,73,19,4.4,AU,1701992553
325,cill airne,52.05,-9.5167,9.22,85,94,7.29,IE,1701992554
326,callao,-12.0667,-77.15,20.16,77,75,3.6,PE,1701992554
327,banikoara,11.2985,2.4386,24.44,17,87,2.3,BJ,1701992554
328,nicoya,10.1483,-85.452,25.55,75,2,3.78,CR,1701992554
329,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1701992528
330,aur,8.1499,171.1687,27.9,83,87,9.44,MH,1701992554
331,fallon,39.4735,-118.7774,9.93,30,100,2.57,US,1701992555
332,ajaccio,42.0,8.9167,5.99,76,100,3.09,FR,1701992555
333,acapulco de juarez,16.8634,-99.8901,29.9,74,75,4.12,MX,1701992508
334,bogra,24.85,89.3667,18.91,89,98,3.58,BD,1701992555
335,gorontalo,0.5412,123.0595,27.71,84,91,0.76,ID,1701992555
336,onguday,50.75,86.15,-12.91,75,100,1.1,RU,1701992555
337,villa gesell,-37.2639,-56.973,15.03,70,0,5.36,AR,1701992556
338,kuqa,41.7278,82.9364,2.41,43,100,2.22,CN,1701992556
339,shwebo,22.5667,95.7,19.34,97,100,1.39,MM,1701992556
340,revelstoke,50.9832,-118.2023,3.01,87,100,1.03,CA,1701992556
341,sainte-anne-des-monts,49.124,-66.4924,-3.07,80,95,7.72,CA,1701992556
342,joshimath,30.5667,79.5667,6.35,19,0,3.78,IN,1701992556
343,cestos city,5.46,-9.5828,26.59,81,20,3.18,LR,1701992557
344,al jahra',29.3375,47.6581,17.57,30,0,1.4,KW,1701992557
345,bhatapara,21.7333,81.9333,17.09,95,38,2.02,IN,1701992557
346,shenjiamen,29.9576,122.298,15.59,76,0,9.63,CN,1701992557
347,mahina,-17.5065,-149.489,24.87,88,75,7.2,PF,1701992557
348,bonthe,7.5264,-12.505,26.32,83,7,2.29,SL,1701992558
349,aberystwyth,52.4155,-4.0829,8.17,91,30,5.76,GB,1701992558
350,aba,5.1066,7.3667,25.14,87,93,2.39,NG,1701992558
351,ciudad lazaro cardenas,17.9583,-102.2,26.62,73,29,1.33,MX,1701992558
352,belur,13.1667,75.8667,18.63,83,51,1.39,IN,1701992558
353,bandarbeyla,9.4942,50.8122,23.74,67,3,7.62,SO,1701992558
354,howard springs,-12.497,131.047,29.9,89,94,0.81,AU,1701992559
355,puerto aysen,-45.4,-72.7,16.34,85,42,1.54,CL,1701992559
356,afaahiti,-17.75,-149.2833,23.93,79,93,9.13,PF,1701992396
357,narrabri,-30.3167,149.7833,34.18,37,67,1.79,AU,1701992559
358,vetluga,57.8557,45.781,-25.06,99,50,1.18,RU,1701992559
359,neiafu,-18.65,-173.9833,30.38,74,40,3.6,TO,1701992559
